id,created_at,text,retweet_count,ent_urls,ent_hashtags,ent_mentions,favorite_count,in_reply_to_status_id
428621431639789568,Wed Jan 29 20:11:27 +0000 2014,Video: $400 million stadium project planned at #NotreDame http://t.co/Kijw5fBULq #ndfb,1,"[{u'url': u'http://t.co/Kijw5fBULq', u'indices': [58, 80], u'expanded_url': u'http://goo.gl/InEBRE', u'display_url': u'goo.gl/InEBRE'}]","[{u'indices': [47, 57], u'text': u'NotreDame'}, {u'indices': [81, 86], u'text': u'ndfb'}]",[],0,
428573661369352192,Wed Jan 29 17:01:38 +0000 2014,Talk #NotreDame #football with @hansenNDInsider now: http://t.co/WZXbeJITxC #ndfb,0,"[{u'url': u'http://t.co/WZXbeJITxC', u'indices': [53, 75], u'expanded_url': u'http://goo.gl/86LNXb', u'display_url': u'goo.gl/86LNXb'}]","[{u'indices': [5, 15], u'text': u'NotreDame'}, {u'indices': [16, 25], u'text': u'football'}, {u'indices': [76, 81], u'text': u'ndfb'}]","[{u'indices': [31, 47], u'screen_name': u'hansenNDInsider', u'id': 2833519012, u'name': u'Ачугин Сергей', u'id_str': u'2833519012'}]",0,
428551153610006528,Wed Jan 29 15:32:11 +0000 2014,#NotreDame unveils $400 million stadium project http://t.co/qOuZRUO8wh #NDFB http://t.co/WPbWzlDJ8l,59,"[{u'url': u'http://t.co/qOuZRUO8wh', u'indices': [48, 70], u'expanded_url': u'http://goo.gl/oO1H9s', u'display_url': u'goo.gl/oO1H9s'}]","[{u'indices': [0, 10], u'text': u'NotreDame'}, {u'indices': [71, 76], u'text': u'NDFB'}]",[],13,
428191692575879169,Tue Jan 28 15:43:49 +0000 2014,.@SBTribune is offering free access to its website because of the dangerous road conditions delaying newspaper delivery.,5,[],[],"[{u'indices': [1, 11], u'screen_name': u'SBTribune', u'id': 20528760, u'name': u'South Bend Tribune', u'id_str': u'20528760'}]",1,
428190083749908480,Tue Jan 28 15:37:26 +0000 2014,.@jloyd32 scored a career-high 31 points vs. Maryland Monday. Watch the video. http://t.co/sj19s217jZ http://t.co/kFvWLpLmRm,0,"[{u'url': u'http://t.co/sj19s217jZ', u'indices': [79, 101], u'expanded_url': u'http://goo.gl/tuwnnn', u'display_url': u'goo.gl/tuwnnn'}]",[],"[{u'indices': [1, 9], u'screen_name': u'jloyd32', u'id': 263913280, u'name': u'Jewell B Loyd', u'id_str': u'263913280'}]",3,
428184027472732161,Tue Jan 28 15:13:22 +0000 2014,"South Bend, St. Joseph County to lift travel ban at noon.http://t.co/eqwRVRaBUl",5,"[{u'url': u'http://t.co/eqwRVRaBUl', u'indices': [57, 79], u'expanded_url': u'http://goo.gl/oVIqHW', u'display_url': u'goo.gl/oVIqHW'}]",[],[],0,
427919687150600192,Mon Jan 27 21:42:58 +0000 2014,Monday's Common Council meetings canceled. http://t.co/7F074HY86J,0,"[{u'url': u'http://t.co/7F074HY86J', u'indices': [43, 65], u'expanded_url': u'http://goo.gl/p4fbvd', u'display_url': u'goo.gl/p4fbvd'}]",[],[],0,
427883501816274944,Mon Jan 27 19:19:11 +0000 2014,Trash and recycling pick up will see some delays because of the weather. Here's the latest.http://t.co/GpSWIQAxCV,1,"[{u'url': u'http://t.co/GpSWIQAxCV', u'indices': [91, 113], u'expanded_url': u'http://goo.gl/btO5yC', u'display_url': u'goo.gl/btO5yC'}]",[],[],0,
427882313674788864,Mon Jan 27 19:14:28 +0000 2014,Local transportation is being impacted by the frigid weather. Read the latest update here. http://t.co/kZjWCpRdNp http://t.co/Jx34UCXPke,4,"[{u'url': u'http://t.co/kZjWCpRdNp', u'indices': [91, 113], u'expanded_url': u'http://goo.gl/oQLr83', u'display_url': u'goo.gl/oQLr83'}]",[],[],1,
427865793942913024,Mon Jan 27 18:08:49 +0000 2014,Here is the latest from @SBTribune on Michiana's severe winter weather.http://t.co/mnTfE3673M http://t.co/lHEbFgD2EY,0,"[{u'url': u'http://t.co/mnTfE3673M', u'indices': [71, 93], u'expanded_url': u'http://goo.gl/lIuIDv', u'display_url': u'goo.gl/lIuIDv'}]",[],"[{u'indices': [24, 34], u'screen_name': u'SBTribune', u'id': 20528760, u'name': u'South Bend Tribune', u'id_str': u'20528760'}]",1,
427865105854787584,Mon Jan 27 18:06:05 +0000 2014,"Check out our photo gallery Frigid Monday in Michiana"". @sbtphotos http://t.co/trG8xNAj4o",2,"[{u'url': u'http://t.co/trG8xNAj4o', u'indices': [67, 89], u'expanded_url': u'http://goo.gl/JOfj1I', u'display_url': u'goo.gl/JOfj1I'}]",[],"[{u'indices': [56, 66], u'screen_name': u'sbtphotos', u'id': 518081746, u'name': u'SBT Photography', u'id_str': u'518081746'}]",0,
427844793218002944,Mon Jan 27 16:45:22 +0000 2014,.@2nddistrictsb Henry Davis Jr. is in hot water for a post he made to his SB Facebook page. http://t.co/DE27WtExrE http://t.co/ko4IEdBfYo,2,"[{u'url': u'http://t.co/DE27WtExrE', u'indices': [92, 114], u'expanded_url': u'http://goo.gl/TjEHfB', u'display_url': u'goo.gl/TjEHfB'}]",[],"[{u'indices': [1, 15], u'screen_name': u'2nddistrictsb', u'id': 208773595, u'name': u'Henry Davis, Jr.', u'id_str': u'208773595'}]",0,
426821953358663680,Fri Jan 24 21:00:58 +0000 2014,PetsConnect is hosting a fundraiser Saturday for a rescued dog that nearly starved to death http://t.co/r1N8TeUva0,0,"[{u'url': u'http://t.co/r1N8TeUva0', u'indices': [92, 114], u'expanded_url': u'http://goo.gl/nQ1iuo', u'display_url': u'goo.gl/nQ1iuo'}]",[],[],0,
426814623405600769,Fri Jan 24 20:31:50 +0000 2014,IU student arrested Wednesday for allegedly trying to make a bomb pleads not guilty http://t.co/jIdpdBxp3v,0,"[{u'url': u'http://t.co/jIdpdBxp3v', u'indices': [84, 106], u'expanded_url': u'http://ow.ly/sURE8', u'display_url': u'ow.ly/sURE8'}]",[],[],0,
426800957771755520,Fri Jan 24 19:37:32 +0000 2014,FDA says the nutrition facts label is getting a makeover. What do you think needs to be changed? http://t.co/moyJnXuNCj,0,"[{u'url': u'http://t.co/moyJnXuNCj', u'indices': [97, 119], u'expanded_url': u'http://goo.gl/vKEMGs', u'display_url': u'goo.gl/vKEMGs'}]",[],[],0,
426788037155389440,Fri Jan 24 18:46:12 +0000 2014,The arctic weather is back and in full force. Check out these photos of the cold snowy weather in #Michiana http://t.co/c1FW3dvJns,0,"[{u'url': u'http://t.co/c1FW3dvJns', u'indices': [108, 130], u'expanded_url': u'http://goo.gl/ElJaju', u'display_url': u'goo.gl/ElJaju'}]","[{u'indices': [98, 107], u'text': u'Michiana'}]",[],0,
426762791660556288,Fri Jan 24 17:05:53 +0000 2014,Here is a photo gallery of last night's deadly pileup on I-94 by @jamesbrosher http://t.co/pE1mYwhEQV,1,"[{u'url': u'http://t.co/pE1mYwhEQV', u'indices': [79, 101], u'expanded_url': u'http://goo.gl/qwWAUL', u'display_url': u'goo.gl/qwWAUL'}]",[],"[{u'indices': [65, 78], u'screen_name': u'jamesbrosher', u'id': 19101267, u'name': u'James Brosher', u'id_str': u'19101267'}]",1,
426752082662932480,Fri Jan 24 16:23:19 +0000 2014,Rescuers said the I-94 pileup was 'like a war zone' http://t.co/3dVY9tdwto http://t.co/U1lvTHhXnb,3,"[{u'url': u'http://t.co/3dVY9tdwto', u'indices': [52, 74], u'expanded_url': u'http://goo.gl/Uk63Uj', u'display_url': u'goo.gl/Uk63Uj'}, {u'url': u'http://t.co/U1lvTHhXnb', u'indices': [75, 97], u'expanded_url': u'http://ow.ly/i/4nUXe', u'display_url': u'ow.ly/i/4nUXe'}]",[],[],0,
426748766679732224,Fri Jan 24 16:10:09 +0000 2014,The @CityofSouthBend has opened a warming Center at the MLK Rec. Center. More here: http://t.co/d21xIXl03z,1,"[{u'url': u'http://t.co/d21xIXl03z', u'indices': [84, 106], u'expanded_url': u'http://goo.gl/NdKvxA', u'display_url': u'goo.gl/NdKvxA'}]",[],"[{u'indices': [4, 20], u'screen_name': u'CityofSouthBend', u'id': 46637873, u'name': u'South Bend', u'id_str': u'46637873'}]",0,
426745812664975360,Fri Jan 24 15:58:24 +0000 2014,The Boys &amp; Girls Club of St. Joe County is open to members today: http://t.co/ylhzhBvEFg,0,"[{u'url': u'http://t.co/ylhzhBvEFg', u'indices': [70, 92], u'expanded_url': u'http://goo.gl/jiPhVE', u'display_url': u'goo.gl/jiPhVE'}]",[],[],0,
426737425634033664,Fri Jan 24 15:25:05 +0000 2014,#FF @inthebend for the latest info. on #events &amp; things to do in #Michiana!,2,[],"[{u'indices': [0, 3], u'text': u'FF'}, {u'indices': [39, 46], u'text': u'events'}, {u'indices': [69, 78], u'text': u'Michiana'}]","[{u'indices': [4, 14], u'screen_name': u'InTheBend', u'id': 57325816, u'name': u'In the Bend', u'id_str': u'57325816'}]",1,
426730815033470976,Fri Jan 24 14:58:49 +0000 2014,A new local business is coming to #SouthBend! @marketbasket tells us all about it in today's column. http://t.co/R2ZwjXAbVl...,0,"[{u'url': u'http://t.co/R2ZwjXAbVl', u'indices': [101, 123], u'expanded_url': u'http://goo.gl/luzMsk', u'display_url': u'goo.gl/luzMsk'}]","[{u'indices': [34, 44], u'text': u'SouthBend'}]","[{u'indices': [46, 59], u'screen_name': u'marketbasket', u'id': 20626729, u'name': u'Heidi Prescott', u'id_str': u'20626729'}]",0,
426724678485282816,Fri Jan 24 14:34:26 +0000 2014,UPDATE: Death toll grows to 3 in I-94 pile up. http://t.co/c46Pzt5UKU http://t.co/aHWw1iDxxO,2,"[{u'url': u'http://t.co/c46Pzt5UKU', u'indices': [47, 69], u'expanded_url': u'http://goo.gl/9LX429', u'display_url': u'goo.gl/9LX429'}]",[],[],0,
426723695084584960,Fri Jan 24 14:30:31 +0000 2014,"Arctic temps, strong winds make for bone-chilling temps today. http://t.co/wvx7nD6xV4",0,"[{u'url': u'http://t.co/wvx7nD6xV4', u'indices': [63, 85], u'expanded_url': u'http://goo.gl/jEXEtS', u'display_url': u'goo.gl/jEXEtS'}]",[],[],0,
426458508091871232,Thu Jan 23 20:56:46 +0000 2014,Police are urging drivers to stay off the US 31 Bypass as weather conditions cause dozens of accidents http://t.co/DShrWzgttw,1,"[{u'url': u'http://t.co/DShrWzgttw', u'indices': [103, 125], u'expanded_url': u'http://goo.gl/qDRnqd', u'display_url': u'goo.gl/qDRnqd'}]",[],[],1,
426452310202810368,Thu Jan 23 20:32:08 +0000 2014,#TBT Did you know @WSBT's master control room used to be located in The Tribune building? http://t.co/zN9YIloOVu http://t.co/mwRLBJNZwL,1,"[{u'url': u'http://t.co/zN9YIloOVu', u'indices': [90, 112], u'expanded_url': u'http://goo.gl/nDmsFM', u'display_url': u'goo.gl/nDmsFM'}, {u'url': u'http://t.co/mwRLBJNZwL', u'indices': [113, 135], u'expanded_url': u'http://ow.ly/i/4nj26', u'display_url': u'ow.ly/i/4nj26'}]","[{u'indices': [0, 4], u'text': u'TBT'}]","[{u'indices': [18, 23], u'screen_name': u'WSBT', u'id': 15483453, u'name': u'WSBT ', u'id_str': u'15483453'}]",0,
426441775382003712,Thu Jan 23 19:50:16 +0000 2014,"Sad news in #SouthBend today: Guinevere, the city's resident female peregrine falcon, has died. http://t.co/96wkOueXDw",2,"[{u'url': u'http://t.co/96wkOueXDw', u'indices': [96, 118], u'expanded_url': u'http://goo.gl/ytzx5R', u'display_url': u'goo.gl/ytzx5R'}]","[{u'indices': [12, 22], u'text': u'SouthBend'}]",[],1,
426440055507271680,Thu Jan 23 19:43:26 +0000 2014,BREAKING: South Bend schools cancels evening activities. http://t.co/YlxtqNTbwN,3,"[{u'url': u'http://t.co/YlxtqNTbwN', u'indices': [57, 79], u'expanded_url': u'http://goo.gl/rCboia', u'display_url': u'goo.gl/rCboia'}]",[],[],1,
426437529861373952,Thu Jan 23 19:33:24 +0000 2014,Looking for a #job? The #SouthBend Silverhawks are holding 4 job fairs for the upcoming season http://t.co/k67BMN7O68 http://t.co/Jw4tOZiZex,7,"[{u'url': u'http://t.co/k67BMN7O68', u'indices': [95, 117], u'expanded_url': u'http://goo.gl/nicGJZ', u'display_url': u'goo.gl/nicGJZ'}, {u'url': u'http://t.co/Jw4tOZiZex', u'indices': [118, 140], u'expanded_url': u'http://ow.ly/i/4nmny', u'display_url': u'ow.ly/i/4nmny'}]","[{u'indices': [14, 18], u'text': u'job'}, {u'indices': [24, 34], u'text': u'SouthBend'}]",[],1,
426400796108800000,Thu Jan 23 17:07:26 +0000 2014,"“Science Alive!” @SJCPL js 10 a.m.-4 p.m. Feb. 1 at  the Main Library, 304 S. Main St. in SB.http://t.co/nyDAnDPmkl",0,"[{u'url': u'http://t.co/nyDAnDPmkl', u'indices': [93, 115], u'expanded_url': u'http://goo.gl/Gnq4GM', u'display_url': u'goo.gl/Gnq4GM'}]",[],"[{u'indices': [17, 23], u'screen_name': u'sjcpl', u'id': 50839519, u'name': u'Seonju Lee', u'id_str': u'50839519'}]",0,
