timestamp,name,tweet,retweetCnt,hastags,urlsCnt,mentionsCnt
Tue Oct 28 20:48:53 +0000 2014,pfrancesevic1,@BobayConner please follow me 💖💖💖,{},[],0,1
Tue Oct 28 20:48:55 +0000 2014,HoCroSGA,"@MiAH2love This Thursday. Come out to the HOCRO HOEDOWN @8PM                     - Live DJ
- BBQ
- Bonfire&amp; S'mores
- Mechanical Bull",{},[],0,2
,,{},{},{},0,0
Tue Oct 28 20:49:24 +0000 2014,Sulli_Amanda,"RT @IURPS: RT if you plan on applying to be an RA or CUE!
Favorite if you love your RA &amp; CUE!
http://t.co/bJrK9hdmNG #RACUE",1,"[{u'indices': [121, 127], u'text': u'RACUE'}]",1,1
Tue Oct 28 20:49:27 +0000 2014,Annie_Oakley45,"@dinamanzo @AllAboutTRH Those of you who choose not to believe Dina that is your chose, but to slander her name all over twitter is beyond",{},[],0,2
Tue Oct 28 20:49:35 +0000 2014,perrylboxx,"RT @TomP_FOX28: #Update:  HUD says the Housing Authority of South Bend is ""not successfully"" using voucher resources.  As a... http://t.co/…",1,"[{u'indices': [16, 23], u'text': u'Update'}]",1,1
Tue Oct 28 20:50:22 +0000 2014,NEFirebuff,"RT @Scott4399: So far, so good no one's running at the Chelsea Cvs. State police bomb squad on scene http://t.co/lkKZxOW3qt",2,[],0,1
Tue Oct 28 20:50:24 +0000 2014,BobayConner,☮Tree☮ | 🌿🌲 http://t.co/erI6fsbddb,{},[],1,0
Tue Oct 28 20:50:30 +0000 2014,becca_molnar,RT @BobayConner: ☮Tree☮ | 🌿🌲 http://t.co/erI6fsbddb,1,[],1,1
,,{},{},{},0,0
Tue Oct 28 20:50:53 +0000 2014,cheetosrapper,5 of 5 stars to The Innovation Paradox by Tony Davila http://t.co/RrEaBvK7yi,{},[],1,0
Tue Oct 28 20:51:00 +0000 2014,Annie_Oakley45,"@dinamanzo @AllAboutTRH disgraceful! As the bible says: The one who conceals hatred has lying lips, and whoever utters slander is a fool.",{},[],0,2
Tue Oct 28 20:56:28 +0000 2014,talia700,@BobayConner yes I always want see your new vine,{},[],0,1
Tue Oct 28 20:56:32 +0000 2014,NEincidents,MA | BOSTON |**TRAFFIC ALERT**| I-93 SB | ALL LANES FROM EXIT 28 TO THE ALBANY ST EXIT CLOSED TO TRAFFIC FOR MAIN... http://t.co/YVAcl8NCKX,{},[],1,0
Tue Oct 28 20:56:42 +0000 2014,Wx_Dustin,RT @NEincidents: MA | BOSTON |**TRAFFIC ALERT**| I-93 SB | ALL LANES FROM EXIT 28 TO THE ALBANY ST EXIT CLOSED TO TRAFFIC FOR MAIN... http:…,1,[],1,1
Tue Oct 28 20:56:43 +0000 2014,Narwhale_Bacon,@madiiiisonann 😘,{},[],0,1
Tue Oct 28 20:56:44 +0000 2014,akmccarthy,@rhoward_TGN @MikeMillerHT @HebrewHammer9 @WIUXUnderLights @TheTallTrio Just because you aren't welcome doesn't mean you shouldn't call in.,{},[],0,5
Tue Oct 28 20:57:07 +0000 2014,Mrs_HeatherB,"I made this, believe me I'm surprised too!! http://t.co/YjRAnkbxvn",{},[],1,0
Tue Oct 28 20:57:20 +0000 2014,OnlyMoneyMoe,"We fucked on the bed
We fucked on the floor
We fucked so long i grew a fuckin Afrow",{},[],0,0
