id,created_at,text,retweet_count,ent_urls,ent_hashtags,ent_mentions,favorite_count,in_reply_to_status_id
537383775601451008,Tue Nov 25 23:14:10 +0000 2014,"RT @CiscoPress: Our Black Friday sale runs through Nov 29th! Buy 1 save 35%, buy 2 save 55% use code: BF2014 http://t.co/iVI7DpykHd",6,"[{u'url': u'http://t.co/iVI7DpykHd', u'indices': [109, 131], u'expanded_url': u'http://ow.ly/EybVD', u'display_url': u'ow.ly/EybVD'}]",[],"[{u'id': 14833030, u'indices': [3, 14], u'id_str': u'14833030', u'screen_name': u'CiscoPress', u'name': u'Cisco Press'}]",0,
428002845984825345,Tue Jan 28 03:13:25 +0000 2014,"175,770 points on ""The Frying Pan""! What can I say? I'm as smart as I am pretty. http://t.co/La36bMfwtd #fieldrunners2",0,"[{u'url': u'http://t.co/La36bMfwtd', u'indices': [81, 103], u'expanded_url': u'http://bit.ly/fr2_free', u'display_url': u'bit.ly/fr2_free'}]","[{u'indices': [104, 118], u'text': u'fieldrunners2'}]",[],0,
425845819913170946,Wed Jan 22 04:22:09 +0000 2014,"238,500 points - ""Bizarre Bazaar"" - Maximum Awesome - Fieldrunners 2!  Beat that! http://t.co/3EO251Kz3G #fieldrunners2",0,"[{u'url': u'http://t.co/3EO251Kz3G', u'indices': [82, 104], u'expanded_url': u'http://bit.ly/fr2_free', u'display_url': u'bit.ly/fr2_free'}]","[{u'indices': [105, 119], u'text': u'fieldrunners2'}]",[],0,
425148275415478272,Mon Jan 20 06:10:22 +0000 2014,"I earned a heart-melting 176,510 points on ""Tangled Express""!  Beat that! http://t.co/3EO251Kz3G #fieldrunners2",0,"[{u'url': u'http://t.co/3EO251Kz3G', u'indices': [74, 96], u'expanded_url': u'http://bit.ly/fr2_free', u'display_url': u'bit.ly/fr2_free'}]","[{u'indices': [97, 111], u'text': u'fieldrunners2'}]",[],0,
424619576576327682,Sat Jan 18 19:09:30 +0000 2014,"554,100 points - ""Clonehenge"" - Maximum Awesome - Fieldrunners 2!  Beat that! http://t.co/3EO251Kz3G #fieldrunners2",0,"[{u'url': u'http://t.co/3EO251Kz3G', u'indices': [78, 100], u'expanded_url': u'http://bit.ly/fr2_free', u'display_url': u'bit.ly/fr2_free'}]","[{u'indices': [101, 115], u'text': u'fieldrunners2'}]",[],0,
424154849715159041,Fri Jan 17 12:22:51 +0000 2014,"I got a shoe-shaking 124,020 points on ""Bizarre Bazaar"" in Fieldrunners 2!   Top that! http://t.co/La36bMfwtd #fieldrunners2",0,"[{u'url': u'http://t.co/La36bMfwtd', u'indices': [87, 109], u'expanded_url': u'http://bit.ly/fr2_free', u'display_url': u'bit.ly/fr2_free'}]","[{u'indices': [110, 124], u'text': u'fieldrunners2'}]",[],0,
423693184833581056,Thu Jan 16 05:48:21 +0000 2014,"309,755 points on ""Tangled Turnpike""!  I am the cat's pajamas, and his frilly hat! http://t.co/3EO251Kz3G #fieldrunners2",0,"[{u'url': u'http://t.co/3EO251Kz3G', u'indices': [83, 105], u'expanded_url': u'http://bit.ly/fr2_free', u'display_url': u'bit.ly/fr2_free'}]","[{u'indices': [106, 120], u'text': u'fieldrunners2'}]",[],0,
423304557792215041,Wed Jan 15 04:04:05 +0000 2014,"168,889 points - ""Twist of Fate"": Fieldrunners 2.  Beat that! http://t.co/3EO251Kz3G #fieldrunners2",0,"[{u'url': u'http://t.co/3EO251Kz3G', u'indices': [62, 84], u'expanded_url': u'http://bit.ly/fr2_free', u'display_url': u'bit.ly/fr2_free'}]","[{u'indices': [85, 99], u'text': u'fieldrunners2'}]",[],0,
336122383687630848,Sun May 19 14:13:15 +0000 2013,I scored 2942 points on Flight Command in Wreck-it-Ralph iOS,0,[],[],[],3,
330975854085689344,Sun May 05 09:22:47 +0000 2013,Pilgrimage to #emcworld begins.....heading to the airport soon!,0,[],"[{u'indices': [14, 23], u'text': u'emcworld'}]",[],0,
517293495594123264,Wed Oct 01 12:42:34 +0000 2014,We will be inside at Main Street Village Apartments gymnasium starting today!  #firstclassfree#bringbabygetfit,0,[],[],[],0,
511685680770981889,Tue Sep 16 01:19:07 +0000 2014,@BabyBootCamp thanks!!,0,[],[],"[{u'id': 477014451, u'indices': [0, 13], u'id_str': u'477014451', u'screen_name': u'BabyBootCamp', u'name': u'Baby Boot Camp\xae'}]",0,499293667887431680
511685228352372736,Tue Sep 16 01:17:19 +0000 2014,"Loved my first experience at the annual Baby Boot Camp Conference in Sarasota, Fl. #itsnotwhereyoustartitswhereyougrow",0,[],"[{u'indices': [83, 118], u'text': u'itsnotwhereyoustartitswhereyougrow'}]",[],1,
508244779822768128,Sat Sep 06 13:26:12 +0000 2014,It's a beautiful morning!  Come on over to Whole Foods Mishawka for a 10am workout!  #wholefoodsmishawaka #healthymoms #workingonourfitness,0,[],"[{u'indices': [85, 105], u'text': u'wholefoodsmishawaka'}, {u'indices': [106, 118], u'text': u'healthymoms'}, {u'indices': [119, 139], u'text': u'workingonourfitness'}]",[],0,
507881041437396993,Fri Sep 05 13:20:50 +0000 2014,Free class tomorrow at Whole Foods at 10am!  #wholefoods #bringbabygetfit #momstrong,0,[],"[{u'indices': [45, 56], u'text': u'wholefoods'}, {u'indices': [57, 73], u'text': u'bringbabygetfit'}, {u'indices': [74, 84], u'text': u'momstrong'}]",[],0,
503712406128713728,Mon Aug 25 01:16:10 +0000 2014,Strollfit classes at Granger Community Church MWF!!!  First class is free!  #bringbabygetfit,0,[],"[{u'indices': [76, 92], u'text': u'bringbabygetfit'}]",[],0,
500264182256652288,Fri Aug 15 12:54:10 +0000 2014,Try class at 9:30am this morning at Granger Community Church!  Giving away 3 gift cards just for the fun of it!!!  #firstclassfree,0,[],"[{u'indices': [115, 130], u'text': u'firstclassfree'}]",[],0,
500254414674739203,Fri Aug 15 12:15:21 +0000 2014,@BabyBootCamp thanks!!,0,[],[],"[{u'id': 477014451, u'indices': [0, 13], u'id_str': u'477014451', u'screen_name': u'BabyBootCamp', u'name': u'Baby Boot Camp\xae'}]",0,499293667887431680
496479715851386880,Tue Aug 05 02:16:03 +0000 2014,Hello Twitter! #myfirstTweet,0,[],"[{u'indices': [15, 28], u'text': u'myfirstTweet'}]",[],1,
